acres,areaname,agency
683.37,Grays-Elochoman,CONSERVATION
135717.26,Upper Lake Roosevelt,WRIA-LANDUSE
163.6,Elwha-Dungeness,CONSERVATION
21.64,Deschutes,HABITAT AND PASSIVE RECREATION
7730.5,Puyallup-White,AQ-DNR
0.33,Esquatzel Coulee,AQ-PARKS
1438.41,Palouse,AQ-PARKS
6054.76,Stillaguamish,AQ-DNR
2559.34,Foster,WRIA-ACQ
191778.68,Lower Crab,WRIA-OWNER
450380.32,Queets-Quinault,UNKNOWN
31520.6,Duwamish-Green,AQ-DNR
15.15,Lower Snake,DEVELOPED RECREATION
97.61,Lower Crab,CONSERVATION
726753.52,Wenatchee,WRIA-OWNER
75981.84,Stillaguamish,REVENUE
109485.4,Queets-Quinault,REVENUE
277169.61,Stillaguamish,WRIA-LANDUSE
544676.43,Okanogan,WRIA-OWNER
0,Pend Oreille,WRIA-ACQ
10601.58,Little Spokane,UNKNOWN
1208.72,Colville,WRIA-ACQ
867,Little Spokane,DEVELOPED RECREATION
5298.88,Upper Skagit,CONSERVATION
5330.92,Wind-White Salmon,CONSERVATION
299.64,Kennedy-Goldsborough,OTHER PUBLIC
78921.57,Foster,WRIA-OWNER
66.43,Soleduc,HABITAT AND PASSIVE RECREATION
44383.38,Snohomish,WRIA-ACQ
170630.92,Upper Chehalis,WRIA-OWNER
157.38,Island,AQ-PARKS
191778.68,Lower Crab,WRIA-LANDUSE
66.78,Lower Spokane,DFW
126.98,Deschutes,PARKS
154.66,San Juan,DFW
232.65,Wind-White Salmon,DFW
267.21,Lower Yakima,PARKS
316.82,Lower Crab,PARKS
769.89,Upper Skagit,PARKS
1314.87,Methow,PARKS
1606.02,Nisqually,PARKS
1742.38,Methow,DNR AQUATIC
3177.96,Hangman,DNR UPLANDS
3760.09,Klickitat,CITY-COUNTY
3772.22,Foster,CITY-COUNTY
3929.15,Esquatzel Coulee,DFW
4511.24,Lewis,CITY-COUNTY
4552.43,Elwha-Dungeness,CITY-COUNTY
5051.73,Klickitat,PARKS
5826.35,Lower Spokane,CITY-COUNTY
6051.9,Skokomish-Dosewallips,CITY-COUNTY
6460.08,San Juan,PARKS
7037.51,Snohomish,PARKS
7191.11,Upper Skagit,DNR AQUATIC
8049.47,Okanogan,DNR AQUATIC
8535.24,Lower Snake,DNR AQUATIC
9097.78,Entiat,DNR UPLANDS
10962.18,Walla Walla,CITY-COUNTY
25594.1,Chambers-Clover,FEDERAL
34441.09,Cowlitz,CITY-COUNTY
35451.4,Duwamish-Green,CITY-COUNTY
50911.42,Salmon-Washougal,DNR UPLANDS
53942.79,Lower Skagit-Samish,DNR UPLANDS
80033.27,Stillaguamish,DNR UPLANDS
81115.83,Lower Crab,FEDERAL
106681.39,Cedar-Sammamish,CITY-COUNTY
139947.83,Quilcene-Snow,DNR AQUATIC
177179.12,Stillaguamish,FEDERAL
218850.84,Nooksack,DNR AQUATIC
283300.44,San Juan,DNR AQUATIC
2.25,Cowlitz,AQ-PARKS
327.52,Deschutes,WRIA-ACQ
45.9,Kettle,DEVELOPED RECREATION
595785.11,Chelan,UNKNOWN
4274.05,Kettle,HABITAT AND PASSIVE RECREATION
2508.51,Cowlitz,AQ-DNR
747169.16,Snohomish,WRIA-LANDUSE
5565.31,Lower Spokane,HABITAT AND PASSIVE RECREATION
157.97,Pend Oreille,DEVELOPED RECREATION
21.53,Snohomish,OTHER PUBLIC
4778.07,Alkali-Squilchuck,CONSERVATION
66274.84,Wind-White Salmon,REVENUE
544.74,Alkali-Squilchuck,DEVELOPED RECREATION
1987.94,Lower Snake,AQ-DNR
410.5,Foster,DEVELOPED RECREATION
160.03,San Juan,CONSERVATION
112405.04,Salmon-Washougal,WRIA-OWNER
629.52,Methow,AQ-PARKS
396350.31,Middle Snake,WRIA-LANDUSE
137933.95,Middle Lake Roosevelt,WRIA-OWNER
133.99,San Juan,WRIA-ACQ
176.94,Kennedy-Goldsborough,AQ-PARKS
111.73,Island,CONSERVATION
2351.88,Klickitat,DEVELOPED RECREATION
5190.87,Kitsap,AQ-DNR
78921.57,Foster,WRIA-LANDUSE
613190.07,Naches,WRIA-OWNER
2999.64,Lower Skagit-Samish,WRIA-ACQ
566603.6,Pend Oreille,WRIA-OWNER
57735.49,Nisqually,REVENUE
396350.31,Middle Snake,WRIA-OWNER
8729.29,Lower Chehalis,CONSERVATION
43861.29,Okanogan,HABITAT AND PASSIVE RECREATION
212020.75,Upper Yakima,REVENUE
2,Lyre-Hoko,OTHER PUBLIC
2473.7,Upper Chehalis,HABITAT AND PASSIVE RECREATION
47864.27,Kennedy-Goldsborough,WRIA-LANDUSE
182.98,Queets-Quinault,DEVELOPED RECREATION
0,Walla Walla,WRIA-ACQ
168.9,Middle Spokane,CONSERVATION
1120.95,Duwamish-Green,HABITAT AND PASSIVE RECREATION
15398.61,Klickitat,HABITAT AND PASSIVE RECREATION
11669.63,Little Spokane,REVENUE
377104.18,Lewis,UNKNOWN
52.99,Sanpoil,DEVELOPED RECREATION
82176.72,Grays-Elochoman,WRIA-LANDUSE
461.26,Kennedy-Goldsborough,AQ-DNR
208796.47,Island,WRIA-LANDUSE
860.91,Skokomish-Dosewallips,DEVELOPED RECREATION
2.51,Quilcene-Snow,OTHER PUBLIC
574.19,Grays-Elochoman,DEVELOPED RECREATION
34268.29,Deschutes,WRIA-LANDUSE
159649.15,Duwamish-Green,WRIA-LANDUSE
72626.12,Walla Walla,UNKNOWN
2469.14,Middle Snake,AQ-DNR
236229.89,Colville,WRIA-LANDUSE
80.35,Grays-Elochoman,OTHER PUBLIC
50.16,Cowlitz,CONSERVATION
10370.89,Duwamish-Green,CONSERVATION
85612.06,Lower Yakima,REVENUE
216141.31,Quilcene-Snow,UNKNOWN
39.32,Puyallup-White,OTHER PUBLIC
1170503.81,Methow,UNKNOWN
36.71,Puyallup-White,DFW
45.6,Soleduc,DFW
94.27,Chambers-Clover,DFW
186.51,Upper Lake Roosevelt,DNR AQUATIC
571.75,Stillaguamish,PARKS
1071.98,Kennedy-Goldsborough,PARKS
2340.11,Lower Skagit-Samish,PARKS
2397.27,Grays-Elochoman,CITY-COUNTY
2967.97,Cedar-Sammamish,PARKS
2982.38,Palouse,DFW
3052.81,Grays-Elochoman,FEDERAL
3240.27,Quilcene-Snow,CITY-COUNTY
3398.5,Colville,DNR AQUATIC
4942.27,Island,PARKS
5636.27,Middle Spokane,DNR UPLANDS
5709.34,Wenatchee,DNR AQUATIC
6411.56,Upper Chehalis,CITY-COUNTY
6504.22,Wind-White Salmon,DNR AQUATIC
6985.36,Lower Lake Roosevelt,FEDERAL
6986.96,Lower Spokane,PARKS
7066.59,Deschutes,CITY-COUNTY
7937.36,Queets-Quinault,CITY-COUNTY
7998.86,Stillaguamish,CITY-COUNTY
8185.54,Chelan,DFW
8324.44,Kitsap,FEDERAL
8911.65,Lower Lake Roosevelt,DNR UPLANDS
9142.42,Cowlitz,DFW
14224.39,Rock-Glade,CITY-COUNTY
16455.87,Lower Yakima,CITY-COUNTY
18144.32,Lower Crab,CITY-COUNTY
35063.66,Upper Lake Roosevelt,DNR UPLANDS
56662.38,Lyre-Hoko,DNR UPLANDS
57141.91,Duwamish-Green,DNR UPLANDS
68138.48,Upper Crab-Wilson,FEDERAL
71414.84,Wind-White Salmon,DNR UPLANDS
74954.54,Colville,DNR UPLANDS
112605.68,Queets-Quinault,DNR UPLANDS
114761.07,Middle Lake Roosevelt,FEDERAL
156176.62,Upper Chehalis,DNR UPLANDS
174251.62,Snohomish,DNR UPLANDS
185289.48,Sanpoil,FEDERAL
195048.02,Soleduc,DNR AQUATIC
197535.97,Elwha-Dungeness,DNR AQUATIC
322760.49,Queets-Quinault,FEDERAL
685785.51,Cowlitz,FEDERAL
1168200.1,Methow,FEDERAL
1382628.72,Upper Skagit,FEDERAL
14057.43,Lower Chehalis,REVENUE
53455.57,Salmon-Washougal,UNKNOWN
5046.69,Wenatchee,HABITAT AND PASSIVE RECREATION
167867.88,Cedar-Sammamish,UNKNOWN
1208.72,Colville,AQ-DNR
100314.25,Duwamish-Green,UNKNOWN
10121.07,Little Spokane,HABITAT AND PASSIVE RECREATION
307.99,Upper Lake Roosevelt,WRIA-ACQ
124638.44,Moses Coulee,WRIA-OWNER
7454.85,Puyallup-White,CONSERVATION
225083.7,Nisqually,WRIA-LANDUSE
1823,Willapa,AQ-DFW
239.65,Esquatzel Coulee,CONSERVATION
56579.27,Foster,REVENUE
40550.1,Alkali-Squilchuck,WRIA-ACQ
83.43,Lewis,OTHER PUBLIC
6888.16,Moses Coulee,HABITAT AND PASSIVE RECREATION
1483.7,Lower Spokane,DEVELOPED RECREATION
50035.72,Moses Coulee,REVENUE
695770.73,Soleduc,WRIA-OWNER
33153.32,Kennedy-Goldsborough,UNKNOWN
125.41,Kennedy-Goldsborough,AQ-DFW
186.98,Grays-Elochoman,WRIA-ACQ
502.29,Nooksack,DEVELOPED RECREATION
66.78,Lower Spokane,AQ-DFW
692.16,Kennedy-Goldsborough,DEVELOPED RECREATION
298840.73,San Juan,WRIA-OWNER
13756.67,Hangman,WRIA-LANDUSE
9196.94,Kitsap,CONSERVATION
15.21,Lower Chehalis,AQ-PARKS
5171.03,Lower Skagit-Samish,CONSERVATION
2215.8,Cedar-Sammamish,WRIA-ACQ
332.73,Island,WRIA-ACQ
35322.52,Upper Crab-Wilson,REVENUE
0,Entiat,WRIA-ACQ
193.22,Lower Crab,AQ-DFW
170630.92,Upper Chehalis,WRIA-LANDUSE
137933.95,Middle Lake Roosevelt,WRIA-LANDUSE
489.49,Lyre-Hoko,CONSERVATION
563704.23,Queets-Quinault,WRIA-OWNER
508.8,Lower Crab,WRIA-ACQ
3712.55,Willapa,AQ-DNR
72861.32,Rock-Glade,UNKNOWN
4503,Rock-Glade,AQ-DNR
142.7,Island,AQ-DNR
58.27,Puyallup-White,DEVELOPED RECREATION
607026.48,Upper Yakima,UNKNOWN
7760.45,Puyallup-White,WRIA-ACQ
48808.47,Lower Skagit-Samish,REVENUE
957758.26,Upper Yakima,WRIA-OWNER
3722.41,Esquatzel Coulee,WRIA-ACQ
92420.2,Lewis,REVENUE
815.89,Pend Oreille,HABITAT AND PASSIVE RECREATION
429.59,Walla Walla,HABITAT AND PASSIVE RECREATION
45.9,Kettle,PARKS
160.63,Colville,PARKS
375.56,Lower Lake Roosevelt,CITY-COUNTY
420.06,Hangman,PARKS
538.67,Chelan,PARKS
713.74,Foster,DNR AQUATIC
975.18,Lower Chehalis,PARKS
989.11,Grand Coulee,CITY-COUNTY
1494.05,Cowlitz,PARKS
2188.4,Upper Chehalis,FEDERAL
2339.74,Hangman,FEDERAL
3157.94,Nisqually,DNR AQUATIC
4619.47,Chelan,DNR UPLANDS
4650.76,San Juan,CITY-COUNTY
4693.82,Willapa,PARKS
6268.3,Pend Oreille,CITY-COUNTY
6777.06,Willapa,CITY-COUNTY
7631.17,Foster,FEDERAL
8293.77,Lower Skagit-Samish,DFW
8673.49,Lower Crab,DNR AQUATIC
9814.67,Foster,DFW
10122.66,Puyallup-White,DNR AQUATIC
13265.62,Pend Oreille,DNR AQUATIC
14550.08,Sanpoil,DNR UPLANDS
20806.51,Skokomish-Dosewallips,DNR AQUATIC
21798.02,Lower Snake,DNR UPLANDS
22511.15,Lower Chehalis,DNR UPLANDS
27330.39,Kennedy-Goldsborough,DNR AQUATIC
31696.57,Lower Crab,DFW
32361.31,Rock-Glade,FEDERAL
36709.22,Grand Coulee,DNR UPLANDS
37110.98,Middle Snake,DNR UPLANDS
37501.68,Duwamish-Green,FEDERAL
45492.08,Upper Skagit,DNR UPLANDS
51300.52,Naches,DNR UPLANDS
51831.65,Lower Crab,DNR UPLANDS
58714.87,Grand Coulee,FEDERAL
139502.79,Esquatzel Coulee,FEDERAL
305102,Alkali-Squilchuck,FEDERAL
357751.77,Soleduc,FEDERAL
366138.07,Lewis,FEDERAL
170237.06,Lower Skagit-Samish,WRIA-LANDUSE
198401.29,Esquatzel Coulee,WRIA-LANDUSE
4.48,Lower Chehalis,OTHER PUBLIC
315.58,Lower Crab,AQ-PARKS
1245802.58,Methow,WRIA-LANDUSE
44292.21,Kettle,REVENUE
196561.47,Stillaguamish,UNKNOWN
39316.54,Methow,REVENUE
159649.15,Duwamish-Green,WRIA-OWNER
4493.04,Nooksack,HABITAT AND PASSIVE RECREATION
4350.77,Quilcene-Snow,WRIA-ACQ
42292.89,Chambers-Clover,WRIA-OWNER
18.2,Nooksack,OTHER PUBLIC
277176.95,Entiat,WRIA-OWNER
546.85,Nisqually,AQ-PARKS
7360.92,Lower Lake Roosevelt,UNKNOWN
1592.11,Upper Skagit,AQ-DFW
2.4,Lower Spokane,AQ-PARKS
1928.59,Upper Skagit,AQ-DNR
3711.06,Deschutes,REVENUE
1112.57,Salmon-Washougal,AQ-DNR
3563.13,Salmon-Washougal,CONSERVATION
335454.06,Skokomish-Dosewallips,WRIA-OWNER
129279.38,Palouse,WRIA-OWNER
822.28,Rock-Glade,CONSERVATION
491956.68,Alkali-Squilchuck,WRIA-LANDUSE
69699.82,Cowlitz,REVENUE
1617.77,Lower Yakima,AQ-DFW
4147.37,Methow,CONSERVATION
0.22,Methow,OTHER PUBLIC
63585.12,Middle Snake,HABITAT AND PASSIVE RECREATION
246011.55,Willapa,WRIA-LANDUSE
3053.15,Elwha-Dungeness,AQ-DNR
32.65,Island,AQ-DFW
28.77,Pend Oreille,OTHER PUBLIC
1962.98,Entiat,CONSERVATION
88.65,Elwha-Dungeness,DEVELOPED RECREATION
2.07,Stillaguamish,AQ-DFW
535.25,Queets-Quinault,HABITAT AND PASSIVE RECREATION
179.14,Hangman,WRIA-ACQ
509.77,Kettle,WRIA-ACQ
490.92,Nisqually,DEVELOPED RECREATION
115276.14,Middle Lake Roosevelt,UNKNOWN
564647.55,Elwha-Dungeness,WRIA-LANDUSE
9.92,Nespelem,WRIA-OWNER
283678.22,Lower Chehalis,WRIA-OWNER
6226.89,Grand Coulee,HABITAT AND PASSIVE RECREATION
553299.11,Soleduc,UNKNOWN
0.57,Upper Lake Roosevelt,OTHER PUBLIC
6288.46,Salmon-Washougal,HABITAT AND PASSIVE RECREATION
256335.2,Quilcene-Snow,WRIA-LANDUSE
6967.58,Willapa,CONSERVATION
18.51,Deschutes,OTHER PUBLIC
1709.19,Salmon-Washougal,DEVELOPED RECREATION
479830.57,Lewis,WRIA-OWNER
861.36,Deschutes,CONSERVATION
2765.25,Little Spokane,AQ-DFW
469.86,Kettle,AQ-DNR
10.2,Elwha-Dungeness,OTHER PUBLIC
43556.25,Naches,HABITAT AND PASSIVE RECREATION
0,Middle Lake Roosevelt,WRIA-ACQ
82.36,Grand Coulee,CONSERVATION
202.64,Deschutes,AQ-DNR
1093.89,Middle Snake,DEVELOPED RECREATION
273.82,Lewis,AQ-DFW
50766.66,Lower Crab,REVENUE
957.61,Skokomish-Dosewallips,CONSERVATION
4695.22,Palouse,AQ-DNR
32498.19,Esquatzel Coulee,REVENUE
289.46,Colville,CONSERVATION
1684.71,Nisqually,HABITAT AND PASSIVE RECREATION
155125.96,Upper Chehalis,REVENUE
12620.77,Lower Spokane,UNKNOWN
957758.26,Upper Yakima,WRIA-LANDUSE
298840.73,San Juan,WRIA-LANDUSE
33053.33,Okanogan,CONSERVATION
161.78,Chelan,WRIA-ACQ
283678.22,Lower Chehalis,WRIA-LANDUSE
32.79,Wind-White Salmon,HABITAT AND PASSIVE RECREATION
18980.16,Okanogan,AQ-DFW
129279.38,Palouse,WRIA-LANDUSE
2968.47,Wind-White Salmon,WRIA-ACQ
82176.72,Grays-Elochoman,WRIA-OWNER
3999.46,Middle Spokane,HABITAT AND PASSIVE RECREATION
22783.18,Middle Snake,AQ-DFW
397.51,Nooksack,WRIA-ACQ
250.3,Walla Walla,DEVELOPED RECREATION
847.48,Upper Chehalis,DEVELOPED RECREATION
2890.77,Quilcene-Snow,CONSERVATION
66.05,Willapa,OTHER PUBLIC
19420.28,Upper Crab-Wilson,HABITAT AND PASSIVE RECREATION
36203,Lower Snake,UNKNOWN
59041.55,Rock-Glade,REVENUE
38.98,Moses Coulee,AQ-DNR
334.34,Island,REVENUE
49332.24,Lower Spokane,WRIA-OWNER
34268.29,Deschutes,WRIA-OWNER
4052.44,Quilcene-Snow,AQ-DNR
94717.2,Nooksack,REVENUE
10158.65,Hangman,UNKNOWN
20863.1,Lower Yakima,WRIA-ACQ
2559.34,Foster,AQ-DFW
1923.81,Wenatchee,CONSERVATION
62.48,Wind-White Salmon,AQ-DFW
595.2,Esquatzel Coulee,AQ-DFW
12.52,San Juan,OTHER PUBLIC
349.13,Lyre-Hoko,HABITAT AND PASSIVE RECREATION
1426.8,Upper Crab-Wilson,WRIA-ACQ
425426.72,Kettle,WRIA-OWNER
768.41,Upper Chehalis,CONSERVATION
36626.86,Grand Coulee,REVENUE
710.41,Moses Coulee,CONSERVATION
614.25,Upper Chehalis,OTHER PUBLIC
41464.64,Upper Skagit,REVENUE
4048.83,Stillaguamish,CONSERVATION
66850.76,Moses Coulee,UNKNOWN
411.34,Lewis,DEVELOPED RECREATION
31775.68,Quilcene-Snow,REVENUE
9066.09,Soleduc,AQ-DNR
5.85,Island,OTHER PUBLIC
1400646.36,Upper Skagit,UNKNOWN
376814.56,Kettle,UNKNOWN
40.25,Little Spokane,AQ-DNR
60.12,Duwamish-Green,AQ-PARKS
5.01,Middle Spokane,OTHER PUBLIC
338553.92,Lower Yakima,WRIA-OWNER
54.75,Lyre-Hoko,AQ-PARKS
218359.3,Okanogan,REVENUE
108449.03,Grand Coulee,WRIA-LANDUSE
119.97,Grays-Elochoman,AQ-DFW
14190.43,Walla Walla,REVENUE
1147.58,Klickitat,AQ-DNR
94.27,Chambers-Clover,OTHER PUBLIC
200402.82,Sanpoil,WRIA-OWNER
10302.21,Lower Skagit-Samish,HABITAT AND PASSIVE RECREATION
68514.87,Willapa,REVENUE
11.62,Cedar-Sammamish,AQ-PARKS
5584.63,Cowlitz,AQ-DFW
69.44,Skokomish-Dosewallips,OTHER PUBLIC
10801.12,Upper Chehalis,UNKNOWN
21876.79,Naches,AQ-DNR
1987.94,Lower Snake,WRIA-ACQ
46767.69,Duwamish-Green,REVENUE
277169.61,Stillaguamish,WRIA-OWNER
4619.47,Chelan,REVENUE
705.42,Wenatchee,WRIA-ACQ
22.12,Naches,DEVELOPED RECREATION
1016.71,Puyallup-White,REVENUE
1792.03,Okanogan,AQ-DNR
374.15,Elwha-Dungeness,HABITAT AND PASSIVE RECREATION
308031.98,Puyallup-White,WRIA-OWNER
2.6,Stillaguamish,OTHER PUBLIC
126191.75,Upper Crab-Wilson,WRIA-OWNER
59900.31,Lower Snake,WRIA-OWNER
56734.2,Grays-Elochoman,REVENUE
360918.25,Lyre-Hoko,WRIA-OWNER
269921.98,Kitsap,WRIA-LANDUSE
941.97,Queets-Quinault,AQ-DNR
662.24,Okanogan,DEVELOPED RECREATION
510.78,Kennedy-Goldsborough,HABITAT AND PASSIVE RECREATION
164.57,Lower Yakima,OTHER PUBLIC
132725.15,Rock-Glade,WRIA-OWNER
9303.72,Methow,AQ-DFW
5741.08,Kitsap,WRIA-ACQ
161909.95,Nisqually,UNKNOWN
2063.76,Lyre-Hoko,WRIA-ACQ
12167.14,Kennedy-Goldsborough,REVENUE
16272.57,Lower Lake Roosevelt,WRIA-LANDUSE
512.23,Lower Skagit-Samish,AQ-DFW
100653.6,Upper Lake Roosevelt,UNKNOWN
21284.91,Klickitat,UNKNOWN
539003.66,Pend Oreille,UNKNOWN
108449.03,Grand Coulee,WRIA-OWNER
3126.88,Esquatzel Coulee,AQ-DNR
131942.18,Upper Yakima,HABITAT AND PASSIVE RECREATION
9317.76,Lewis,CONSERVATION
0,Sanpoil,WRIA-ACQ
9814.67,Foster,HABITAT AND PASSIVE RECREATION
9778.72,Lewis,AQ-DNR
3356.9,Nisqually,WRIA-ACQ
1064.86,Queets-Quinault,WRIA-ACQ
35063.09,Upper Lake Roosevelt,REVENUE
79.64,Lower Spokane,AQ-DNR
695770.73,Soleduc,WRIA-LANDUSE
307.99,Upper Lake Roosevelt,AQ-DNR
13.64,Chambers-Clover,REVENUE
763.61,Kennedy-Goldsborough,WRIA-ACQ
975.67,Puyallup-White,HABITAT AND PASSIVE RECREATION
6.41,Naches,CONSERVATION
7301.15,Upper Chehalis,WRIA-ACQ
4.89,Entiat,DEVELOPED RECREATION
1.05,Stillaguamish,DEVELOPED RECREATION
19244.89,Lower Yakima,AQ-DNR
5505.09,Cedar-Sammamish,CONSERVATION
64044.99,Grand Coulee,UNKNOWN
127.99,Deschutes,DEVELOPED RECREATION
5157.48,Klickitat,CONSERVATION
26597.31,Pend Oreille,REVENUE
9674.74,Cowlitz,HABITAT AND PASSIVE RECREATION
144256.73,Upper Yakima,WRIA-ACQ
2827.97,Middle Spokane,DEVELOPED RECREATION
4503,Rock-Glade,WRIA-ACQ